Protein accession numbers
GATB_HUMAN
ADHX_HUMAN
ADHX_HUMAN
VIGLN_HUMAN
ALDOA_HUMAN
ALDOA_HUMAN
ALDOA_HUMAN
GSTM2_HUMAN
GSTM3_HUMAN
GSTM6_HUMAN
GSTM7_HUMAN
GSTM2_HUMAN
GSTM3_HUMAN
GSTM6_HUMAN
GSTM7_HUMAN
MSH6_HUMAN
SPT5H_HUMAN
SPT5H_HUMAN
VATG1_HUMAN
VATG1_HUMAN
UCHL5_HUMAN
UCHL5_HUMAN
KCRS_HUMAN
KCRS_HUMAN
KCRS_HUMAN
UB2L3_HUMAN
UB2L3_HUMAN
HECD1_HUMAN
HECD1_HUMAN
NH2L1_HUMAN
NH2L1_HUMAN
STAT6_HUMAN
SPTN1_HUMAN
SPTN1_HUMAN
IMDH2_HUMAN
SMC1A_HUMAN
MAGI1_HUMAN
TPC_HUMAN
NDUS1_HUMAN
NDUS1_HUMAN
NDUS1_HUMAN
NDUS1_HUMAN
CRBN_HUMAN
UGPA_HUMAN
UGPA_HUMAN
EXOC3_HUMAN
SUN1_HUMAN
SUN1_HUMAN
TFB1M_HUMAN
COQ8A_HUMAN
SLK_HUMAN
KAD3_HUMAN
EF1G_HUMAN
EF1G_HUMAN
EF1G_HUMAN
GNAI2_HUMAN
GNAI2_HUMAN
ANXA6_HUMAN
ANXA6_HUMAN
ANXA6_HUMAN
ANXA6_HUMAN
ANXA6_HUMAN
MYH14_HUMAN
MYH14_HUMAN
PDXD1_HUMAN
PDXD1_HUMAN
BIRC6_HUMAN
SYFB_HUMAN
RT09_HUMAN
SEC20_HUMAN
DRG1_HUMAN
DC1L2_HUMAN
RB3GP_HUMAN
NIPS2_HUMAN
PRKDC_HUMAN
HNRPQ_HUMAN
HNRPQ_HUMAN
SSDH_HUMAN
SSDH_HUMAN
STIP1_HUMAN
STIP1_HUMAN
STIP1_HUMAN
STIP1_HUMAN
DYN2_HUMAN
DYN2_HUMAN
UBP40_HUMAN
DX39B_HUMAN
RNZ2_HUMAN
XRN2_HUMAN
1433F_HUMAN
RL24_HUMAN
SYDM_HUMAN
RAGP1_HUMAN
RSMB_HUMAN
RSMN_HUMAN
RSMB_HUMAN
RSMN_HUMAN
MET15_HUMAN
RS8_HUMAN
ATG4B_HUMAN
HSP74_HUMAN
HSP74_HUMAN
HSP74_HUMAN
HSP74_HUMAN
HSP74_HUMAN
QCR1_HUMAN
QCR1_HUMAN
QCR1_HUMAN
QCR1_HUMAN
SPF45_HUMAN
MCCA_HUMAN
MCCA_HUMAN
MCCA_HUMAN
EXOS4_HUMAN
ABCD3_HUMAN
PARP1_HUMAN
PDIP2_HUMAN
PDIP2_HUMAN
TRM2A_HUMAN
ECI2_HUMAN
NOA1_HUMAN
NOA1_HUMAN
NOA1_HUMAN
RM19_HUMAN
TRAP1_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
CAP1_HUMAN
CAP1_HUMAN
AL1B1_HUMAN
TIPRL_HUMAN
MUTA_HUMAN
MUTA_HUMAN
UBP5_HUMAN
PYC_HUMAN
PYC_HUMAN
PYC_HUMAN
SYCM_HUMAN
SYCM_HUMAN
CH082_HUMAN
KBL_HUMAN
KBL_HUMAN
PYGM_HUMAN
SDHF1_HUMAN
CND1_HUMAN
MTA2_HUMAN
MTA2_HUMAN
RTN3_HUMAN
PYRG2_HUMAN
PYRG2_HUMAN
TERA_HUMAN
TERA_HUMAN
1A1L1_HUMAN
CAN2_HUMAN
CAN2_HUMAN
MSTO1_HUMAN
MSTO1_HUMAN
GNAO_HUMAN
PPP6_HUMAN
UB2G2_HUMAN
CHMP5_HUMAN
RYR2_HUMAN
RYR2_HUMAN
RYR2_HUMAN
LMNA_HUMAN
LMNA_HUMAN
SBNO1_HUMAN
ADT2_HUMAN
ADT2_HUMAN
ADT2_HUMAN
ADT2_HUMAN
ADT2_HUMAN
ADT2_HUMAN
CFA36_HUMAN
PTGR3_HUMAN
XPO2_HUMAN
XPO2_HUMAN
XPO2_HUMAN
PRC1_HUMAN
PRC1_HUMAN
CLH1_HUMAN
CLH1_HUMAN
CLH1_HUMAN
CLH1_HUMAN
CLH1_HUMAN
CLH1_HUMAN
ANGE2_HUMAN
ANGE2_HUMAN
MRRP3_HUMAN
ILKAP_HUMAN
ILKAP_HUMAN
TCPD_HUMAN
TCPD_HUMAN
TCPD_HUMAN
PYGB_HUMAN
PYGB_HUMAN
PYGB_HUMAN
PYGB_HUMAN
PYGB_HUMAN
RGPA2_HUMAN
PYRG1_HUMAN
PYRG1_HUMAN
PYRG1_HUMAN
RT27_HUMAN
ACS2L_HUMAN
SYSM_HUMAN
PUR6_HUMAN
PUR6_HUMAN
ATP5H_HUMAN
PGK1_HUMAN
PGK1_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
DEST_HUMAN
OXSM_HUMAN
OXSM_HUMAN
OXSM_HUMAN
VDAC1_HUMAN
IF2P_HUMAN
IF2P_HUMAN
GMDS_HUMAN
F185A_HUMAN
PPTC7_HUMAN
PPTC7_HUMAN
PPTC7_HUMAN
STRN_HUMAN
KAD2_HUMAN
KAD2_HUMAN
MPPB_HUMAN
MPPB_HUMAN
MPPB_HUMAN
MPPB_HUMAN
MPPB_HUMAN
MPPB_HUMAN
TRA2B_HUMAN
P5CR3_HUMAN
P5CR3_HUMAN
SYVC_HUMAN
SYVC_HUMAN
CPSF6_HUMAN
ALDR_HUMAN
ACSF2_HUMAN
ACSF2_HUMAN
GLUCM_HUMAN
GLUCM_HUMAN
GLUCM_HUMAN
GLUCM_HUMAN
GLUCM_HUMAN
GLUCM_HUMAN
ACTB_HUMAN
ACTB_HUMAN
ACTB_HUMAN
PTBP3_HUMAN
MEP50_HUMAN
NUDC2_HUMAN
SUCA_HUMAN
COQ8B_HUMAN
COQ8B_HUMAN
DX39A_HUMAN
S27A1_HUMAN
NFIC_HUMAN
GDC_HUMAN
ABCF1_HUMAN
UCHL3_HUMAN
UCHL3_HUMAN
IGEB_HUMAN
MTDC_HUMAN
MTDC_HUMAN
PRP19_HUMAN
EMAL4_HUMAN
DHX30_HUMAN
DHX30_HUMAN
DHX30_HUMAN
DHX30_HUMAN
PIPNB_HUMAN
CDK5_HUMAN
MYH9_HUMAN
MYH9_HUMAN
MYH9_HUMAN
MYH9_HUMAN
MCM3_HUMAN
MCM3_HUMAN
MCM3_HUMAN
MCM3_HUMAN
MCM3_HUMAN
ATG4A_HUMAN
MTAP_HUMAN
MTAP_HUMAN
HD_HUMAN
PSB5_HUMAN
PNKD_HUMAN
PNKD_HUMAN
PNKD_HUMAN
PNKD_HUMAN
MCM4_HUMAN
EXOS3_HUMAN
MAP4_HUMAN
IF2G_HUMAN
VRK3_HUMAN
AKAP2_HUMAN
RM46_HUMAN
RM46_HUMAN
PCBP2_HUMAN
PCBP2_HUMAN
PCBP2_HUMAN
KAT3_HUMAN
ATPO_HUMAN
PGRC2_HUMAN
MTCH2_HUMAN
KIF4_HUMAN
2AAA_HUMAN
2AAA_HUMAN
2AAA_HUMAN
DCMC_HUMAN
DCMC_HUMAN
LARP1_HUMAN
ATAD3_HUMAN
ATAD3_HUMAN
ATAD3_HUMAN
GLGB_HUMAN
SERA_HUMAN
SERA_HUMAN
SERA_HUMAN
SERA_HUMAN
SERA_HUMAN
GLRX5_HUMAN
GLRX5_HUMAN
SYTC_HUMAN
SYTC_HUMAN
COPB_HUMAN
COPB_HUMAN
COPB_HUMAN
AT2A2_HUMAN
AT2A2_HUMAN
AT2A2_HUMAN
AT2A2_HUMAN
AT2A2_HUMAN
AT2A2_HUMAN
AT2A2_HUMAN
CSDE1_HUMAN
CSDE1_HUMAN
CSDE1_HUMAN
CSDE1_HUMAN
SYAC_HUMAN
SYAC_HUMAN
EIF3D_HUMAN
PPP5_HUMAN
PPP5_HUMAN
MYH8_HUMAN
MYH8_HUMAN
BZW1_HUMAN
MYLK_HUMAN
MYLK_HUMAN
SND1_HUMAN
SND1_HUMAN
ACSL4_HUMAN
ACSL4_HUMAN
NASP_HUMAN
DPYL2_HUMAN
ODR4_HUMAN
ODR4_HUMAN
ODR4_HUMAN
EI2BE_HUMAN
MYG_HUMAN
MYG_HUMAN
ACON_HUMAN
ACON_HUMAN
PCBP1_HUMAN
PCBP1_HUMAN
PCBP1_HUMAN
HMGB2_HUMAN
HMGB2_HUMAN
XPO1_HUMAN
XPO1_HUMAN
XPO1_HUMAN
PSME4_HUMAN
PYR1_HUMAN
EHD4_HUMAN
EHD4_HUMAN
ROAA_HUMAN
F16B1_HUMAN
TPIS_HUMAN
TPIS_HUMAN
TPIS_HUMAN
PCCA_HUMAN
ACPM_HUMAN
ACPM_HUMAN
ACPM_HUMAN
CASP8_HUMAN
CASP8_HUMAN
RS12_HUMAN
THIO_HUMAN
THIO_HUMAN
THIO_HUMAN
RBBP7_HUMAN
RBBP7_HUMAN
RBBP7_HUMAN
SUCB1_HUMAN
SUCB1_HUMAN
EIF2D_HUMAN
LRC40_HUMAN
LRC40_HUMAN
THOC1_HUMAN
TOP2B_HUMAN
TOP2B_HUMAN
TOP2B_HUMAN
IF5_HUMAN
TPP2_HUMAN
TPP2_HUMAN
OCTC_HUMAN
ATOX1_HUMAN
ATOX1_HUMAN
MYL6_HUMAN
PMGE_HUMAN
PMGE_HUMAN
NEUA_HUMAN
NEUA_HUMAN
ARI1A_HUMAN
GRPE2_HUMAN
GRPE2_HUMAN
CHIP_HUMAN
MKLN1_HUMAN
MARH5_HUMAN
ACOC_HUMAN
SRC8_HUMAN
HNRL2_HUMAN
HNRL2_HUMAN
HNRL2_HUMAN
PTGR1_HUMAN
PTGR1_HUMAN
CLU_HUMAN
CLU_HUMAN
CLU_HUMAN
CLU_HUMAN
CLU_HUMAN
IDHG1_HUMAN
IDHG1_HUMAN
P53_HUMAN
TBRG4_HUMAN
RINI_HUMAN
RINI_HUMAN
RINI_HUMAN
SCOT1_HUMAN
5NTC_HUMAN
ACLY_HUMAN
ACLY_HUMAN
ACLY_HUMAN
ARHG1_HUMAN
STAT3_HUMAN
L2GL2_HUMAN
KGUA_HUMAN
KGUA_HUMAN
LZTR1_HUMAN
IPYR_HUMAN
PPCE_HUMAN
PUR4_HUMAN
PUR4_HUMAN
PUR4_HUMAN
PUR4_HUMAN
PUR4_HUMAN
PUR4_HUMAN
PUR4_HUMAN
HSPB6_HUMAN
PAXB1_HUMAN
ODB2_HUMAN
SYNE2_HUMAN
SYNE2_HUMAN
SYNE2_HUMAN
SYNE2_HUMAN
VWA8_HUMAN
VWA8_HUMAN
EFTU_HUMAN
EFTU_HUMAN
NHP2_HUMAN
ALD2_HUMAN
OPLA_HUMAN
IDI1_HUMAN
IDI1_HUMAN
ANX11_HUMAN
FAS_HUMAN
FAS_HUMAN
FAS_HUMAN
FAS_HUMAN
FAS_HUMAN
FAS_HUMAN
LDB3_HUMAN
LDB3_HUMAN
HEMH_HUMAN
C10_HUMAN
QOR_HUMAN
RT06_HUMAN
MSRB3_HUMAN
PTCD1_HUMAN
PTCD1_HUMAN
NDKB_HUMAN
TBCD_HUMAN
MK01_HUMAN
MK01_HUMAN
NFIA_HUMAN
IDHP_HUMAN
IDHP_HUMAN
IDHP_HUMAN
IDHP_HUMAN
UCHL1_HUMAN
UCHL1_HUMAN
ERCC3_HUMAN
HS74L_HUMAN
HS74L_HUMAN
HS74L_HUMAN
CPT1A_HUMAN
TSTD3_HUMAN
TSTD3_HUMAN
TSTD3_HUMAN
EIF3C_HUMAN
EIF3C_HUMAN
KHDR1_HUMAN
LRC59_HUMAN
COPG1_HUMAN
GUAA_HUMAN
GUAA_HUMAN
GUAA_HUMAN
GUAA_HUMAN
GUAA_HUMAN
GUAA_HUMAN
DPOLA_HUMAN
PDLI5_HUMAN
PDLI5_HUMAN
CAND2_HUMAN
CAND2_HUMAN
CAND2_HUMAN
NDUS2_HUMAN
GARS_HUMAN
GARS_HUMAN
GARS_HUMAN
GARS_HUMAN
CK068_HUMAN
RM44_HUMAN
SYRC_HUMAN
SYRC_HUMAN
PSA_HUMAN
SAHH2_HUMAN
SAHH3_HUMAN
RIR2_HUMAN
RIR2_HUMAN
HS105_HUMAN
HS105_HUMAN
HS105_HUMAN
HS105_HUMAN
HS105_HUMAN
SYRM_HUMAN
SYRM_HUMAN
SYRM_HUMAN
SYRM_HUMAN
PROF1_HUMAN
PPIA_HUMAN
PPIA_HUMAN
ARL2_HUMAN
COG1_HUMAN
PRDX6_HUMAN
PRDX6_HUMAN
PRDX6_HUMAN
ERLN1_HUMAN
TNPO3_HUMAN
TNPO3_HUMAN
SF3B1_HUMAN
HS90B_HUMAN
HS90B_HUMAN
HS90B_HUMAN
SPRE_HUMAN
SPRE_HUMAN
GET4_HUMAN
UBP2_HUMAN
IMPA1_HUMAN
HNRPM_HUMAN
HNRPM_HUMAN
HNRPM_HUMAN
ETHE1_HUMAN
ETHE1_HUMAN
ETHE1_HUMAN
ETHE1_HUMAN
ETHE1_HUMAN
ETHE1_HUMAN
ETHE1_HUMAN
MYH10_HUMAN
MYH10_HUMAN
MYH10_HUMAN
MYH10_HUMAN
CPNE3_HUMAN
ATAD1_HUMAN
SART3_HUMAN
F120A_HUMAN
SYYM_HUMAN
SYYM_HUMAN
SYYM_HUMAN
CNDD3_HUMAN
CNDD3_HUMAN
ISCU_HUMAN
ISCU_HUMAN
ISCU_HUMAN
ISCU_HUMAN
CBR1_HUMAN
CBR1_HUMAN
CBR1_HUMAN
C1TM_HUMAN
C1TM_HUMAN
C1TM_HUMAN
C1TM_HUMAN
C1TM_HUMAN
PSMG1_HUMAN
PSMG1_HUMAN
SMCA4_HUMAN
EIF3B_HUMAN
GRPE1_HUMAN
GRPE1_HUMAN
MPCP_HUMAN
MPCP_HUMAN
RRF2M_HUMAN
RUS1_HUMAN
COF1_HUMAN
COF1_HUMAN
COF1_HUMAN
COF1_HUMAN
COF1_HUMAN
COF1_HUMAN
COF1_HUMAN
ESTD_HUMAN
ESTD_HUMAN
BAG3_HUMAN
BAG3_HUMAN
NUP85_HUMAN
NUP85_HUMAN
NUP85_HUMAN
OPA1_HUMAN
PABP1_HUMAN
CN166_HUMAN
CN166_HUMAN
1433T_HUMAN
1433T_HUMAN
1433T_HUMAN
FKBP8_HUMAN
MDC1_HUMAN
ECHM_HUMAN
BROX_HUMAN
BROX_HUMAN
DDX5_HUMAN
RM15_HUMAN
KI67_HUMAN
KI67_HUMAN
KI67_HUMAN
KI67_HUMAN
PRDX5_HUMAN
PRDX5_HUMAN
PRDX5_HUMAN
TCPA_HUMAN
TCPA_HUMAN
TCPA_HUMAN
TCPA_HUMAN
TCPA_HUMAN
CASP3_HUMAN
CASP6_HUMAN
HUWE1_HUMAN
HUWE1_HUMAN
TOM34_HUMAN
MIPEP_HUMAN
MIPEP_HUMAN
MIPEP_HUMAN
MIPEP_HUMAN
MDHC_HUMAN
MGN2_HUMAN
MGN_HUMAN
MYLK3_HUMAN
MDHM_HUMAN
MDHM_HUMAN
MDHM_HUMAN
LPPRC_HUMAN
LPPRC_HUMAN
LPPRC_HUMAN
LPPRC_HUMAN
LPPRC_HUMAN
LPPRC_HUMAN
ECI1_HUMAN
CH60_HUMAN
MYL4_HUMAN
MYL4_HUMAN
NONO_HUMAN
FA98B_HUMAN
FA98B_HUMAN
HEM3_HUMAN
HEM3_HUMAN
MAP2_HUMAN
MAP2_HUMAN
TOP2A_HUMAN
PMVK_HUMAN
MDR1A_HUMAN
MDR1B_HUMAN
MDR3_HUMAN
MDR1A_HUMAN
MDR1B_HUMAN
MDR3_HUMAN
ATPG_HUMAN
DYST_HUMAN
LIPT_HUMAN
ASPH_HUMAN
RM53_HUMAN
CAF17_HUMAN
SCRIB_HUMAN
PTPRK_HUMAN
DOCK6_HUMAN
ACTN4_HUMAN
ACTN4_HUMAN
ACTN4_HUMAN
ERF1_HUMAN
MBB1A_HUMAN
SGT1_HUMAN
SGT1_HUMAN
SGT1_HUMAN
HDGF_HUMAN
HDGF_HUMAN
HDGF_HUMAN
HDGF_HUMAN
MACF1_HUMAN
MACF1_HUMAN
DD19A_HUMAN
HNRPF_HUMAN
PSDE_HUMAN
PSDE_HUMAN
APC5_HUMAN
PUR2_HUMAN
PUR2_HUMAN
ARF4_HUMAN
IMA1_HUMAN
CSRP1_HUMAN
CSRP1_HUMAN
STRAP_HUMAN
NDUF7_HUMAN
NDUF7_HUMAN
SDHA_HUMAN
SDHA_HUMAN
NIT2_HUMAN
IPO7_HUMAN
PP4R2_HUMAN
PP4R2_HUMAN
HEM2_HUMAN
EFTS_HUMAN
CAND1_HUMAN
CAND1_HUMAN
OTU6B_HUMAN
VIME_HUMAN
VIME_HUMAN
CLIC4_HUMAN
CLIC4_HUMAN
HPRT_HUMAN
HPRT_HUMAN
RALY_HUMAN
ITSN2_HUMAN
BAZ1B_HUMAN
NOCT_HUMAN
MYPC3_HUMAN
MYPC3_HUMAN
MYPC3_HUMAN
MYPC3_HUMAN
MYPC3_HUMAN
AMPL_HUMAN
AMPL_HUMAN
AMPL_HUMAN
AMPL_HUMAN
AMPL_HUMAN
FLII_HUMAN
MAEA_HUMAN
C560_HUMAN
BOLA3_HUMAN
BOLA3_HUMAN
HS90A_HUMAN
HS90A_HUMAN
HS90A_HUMAN
BACH_HUMAN
BACH_HUMAN
AKAP1_HUMAN
CAPZB_HUMAN
HNRPL_HUMAN
HNRPL_HUMAN
HNRPL_HUMAN
NAA25_HUMAN
SPTB2_HUMAN
ZFR_HUMAN
MCL1_HUMAN
RHG18_HUMAN
RENT1_HUMAN
RENT1_HUMAN
RENT1_HUMAN
BPNT1_HUMAN
NDUB9_HUMAN
NDUB9_HUMAN
ADDA_HUMAN
PML_HUMAN
RS3_HUMAN
TPR_HUMAN
CNBP_HUMAN
UAP1L_HUMAN
STK39_HUMAN
STK39_HUMAN
DDX6_HUMAN
DDX6_HUMAN
AEDO_HUMAN
MACD1_HUMAN
MACD1_HUMAN
MACD1_HUMAN
MACD1_HUMAN
PSME1_HUMAN
SAFB1_HUMAN
COR1C_HUMAN
COR1C_HUMAN
COR1C_HUMAN
COR1C_HUMAN
RBFA_HUMAN
HNRH1_HUMAN
PRDX4_HUMAN
PRDX4_HUMAN
PRDX4_HUMAN
PFKAP_HUMAN
PFKAP_HUMAN
BDH_HUMAN
PLXB2_HUMAN
NUP93_HUMAN
NUP93_HUMAN
MGLL_HUMAN
MGLL_HUMAN
PPM1G_HUMAN
4EBP1_HUMAN
PDP1_HUMAN
DENR_HUMAN
DENR_HUMAN
ACSF3_HUMAN
HNRPK_HUMAN
NDUA9_HUMAN
NDUA9_HUMAN
ARHGC_HUMAN
PHF5A_HUMAN
PHF5A_HUMAN
CPNE1_HUMAN
EDC4_HUMAN
EDC4_HUMAN
EDC4_HUMAN
HNRPU_HUMAN
HNRPU_HUMAN
LRC47_HUMAN
TKT_HUMAN
TKT_HUMAN
UBE2N_HUMAN
UBE2N_HUMAN
GRSF1_HUMAN
RS28_HUMAN
INF2_HUMAN
KS6A2_HUMAN
KS6A3_HUMAN
KS6A2_HUMAN
KS6A3_HUMAN
KS6A2_HUMAN
KS6A3_HUMAN
UBP16_HUMAN
PSMD1_HUMAN
PSMD1_HUMAN
PSMD1_HUMAN
REEP5_HUMAN
AAAS_HUMAN
ADT1_HUMAN
ADT1_HUMAN
ADT1_HUMAN
ADT1_HUMAN
ADT1_HUMAN
RL10A_HUMAN
AFG31_HUMAN
ALKB7_HUMAN
ALKB7_HUMAN
ALKB7_HUMAN
ALKB7_HUMAN
BAG1_HUMAN
CBX3_HUMAN
HAT1_HUMAN
HAT1_HUMAN
NEK9_HUMAN
ECHA_HUMAN
ECHA_HUMAN
ECHA_HUMAN
ECHA_HUMAN
ECHA_HUMAN
5NT3B_HUMAN
KLC4_HUMAN
KLC4_HUMAN
PSD13_HUMAN
PSD13_HUMAN
PLIN3_HUMAN
MSS4_HUMAN
MECR_HUMAN
PLCG1_HUMAN
BLMH_HUMAN
BLMH_HUMAN
PERI_HUMAN
CUL4B_HUMAN
CUL4B_HUMAN
IKKA_HUMAN
HA1B_HUMAN
MMAB_HUMAN
TRXR1_HUMAN
DDX21_HUMAN
PP1A_HUMAN
PP1B_HUMAN
PP1G_HUMAN
NIT1_HUMAN
MAP1S_HUMAN
MAP1S_HUMAN
DLP1_HUMAN
SMHD1_HUMAN
6PGD_HUMAN
RT31_HUMAN
HXK1_HUMAN
THTR_HUMAN
THTR_HUMAN
THTR_HUMAN
LTN1_HUMAN
SYMM_HUMAN
SYMM_HUMAN
SHIP2_HUMAN
BOLA1_HUMAN
NELFA_HUMAN
NAA15_HUMAN
NAA15_HUMAN
RCC2_HUMAN
RCC2_HUMAN
RPN1_HUMAN
RPN1_HUMAN
RPN1_HUMAN
RPN1_HUMAN
PDK3_HUMAN
PDK3_HUMAN
BCAM_HUMAN
HTR5A_HUMAN
TIGAR_HUMAN
CCHL_HUMAN
CCHL_HUMAN
TT21B_HUMAN
CBX5_HUMAN
ACTG_HUMAN
ACTG_HUMAN
ACTG_HUMAN
NUCL_HUMAN
TOM70_HUMAN
ACOT9_HUMAN
HNRLL_HUMAN
HNRLL_HUMAN
HNRLL_HUMAN
HNRLL_HUMAN
HNRLL_HUMAN
HMGCL_HUMAN
HMGCL_HUMAN
HMGCL_HUMAN
HMGCL_HUMAN
HMGCL_HUMAN
ZW10_HUMAN
SYLC_HUMAN
SYLC_HUMAN
SYLC_HUMAN
NACAM_HUMAN
NACAM_HUMAN
NACAM_HUMAN
PPIL1_HUMAN
5NT3A_HUMAN
LDHA_HUMAN
LDHA_HUMAN
LDHA_HUMAN
NISCH_HUMAN
GPX41_HUMAN
GPX41_HUMAN
GPX41_HUMAN
SYLM_HUMAN
SYLM_HUMAN
OTUB1_HUMAN
MLP3A_HUMAN
RS2_HUMAN
THADA_HUMAN
IPO5_HUMAN
IPO5_HUMAN
USO1_HUMAN
USO1_HUMAN
USO1_HUMAN
PARK7_HUMAN
PARK7_HUMAN
PARK7_HUMAN
KTN1_HUMAN
SRBS1_HUMAN
MPRIP_HUMAN
CRIP2_HUMAN
PLOD2_HUMAN
PLOD2_HUMAN
SYEP_HUMAN
SYEP_HUMAN
SYEP_HUMAN
SYEP_HUMAN
SYEP_HUMAN
SYEP_HUMAN
SYEP_HUMAN
SYEP_HUMAN
SYEP_HUMAN
SYEP_HUMAN
SYEP_HUMAN
SYEP_HUMAN
THIM_HUMAN
THIM_HUMAN
THIM_HUMAN
MCAT_HUMAN
SRP68_HUMAN
PCNA_HUMAN
ACYP2_HUMAN
IF4G2_HUMAN
P5CS_HUMAN
P5CS_HUMAN
P5CS_HUMAN
PGAM2_HUMAN
PGAM2_HUMAN
PGAM2_HUMAN
PGAM2_HUMAN
SRRT_HUMAN
SRRT_HUMAN
SYJ2B_HUMAN
RM50_HUMAN
GRP75_HUMAN
GRP75_HUMAN
GRP75_HUMAN
GRP75_HUMAN
GRP75_HUMAN
FXRD1_HUMAN
GLMN_HUMAN
DNPEP_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
G3P_HUMAN
IDH3A_HUMAN
IDH3A_HUMAN
IDH3A_HUMAN
IDH3A_HUMAN
KPYM_HUMAN
ROCK2_HUMAN
WDR46_HUMAN
RAB21_HUMAN
CTC1_HUMAN
CTC1_HUMAN
SYDC_HUMAN
PALD_HUMAN
PALD_HUMAN
SMC2_HUMAN
SMC2_HUMAN
SMC2_HUMAN
PCKGM_HUMAN
PCKGM_HUMAN
PCKGM_HUMAN
VIR_HUMAN
AL1L2_HUMAN
NU155_HUMAN
CYBP_HUMAN
TGM2_HUMAN
TGM2_HUMAN
TGM2_HUMAN
TGM2_HUMAN
TGM2_HUMAN
TGM2_HUMAN
UB2V1_HUMAN
UB2V1_HUMAN
MRM1_HUMAN
MRM1_HUMAN
VMA5A_HUMAN
VMA5A_HUMAN
VMA5A_HUMAN
LEG1_HUMAN
LEG1_HUMAN
LEG1_HUMAN
UBP24_HUMAN
ODO1_HUMAN
ODO1_HUMAN
ODO1_HUMAN
ODO1_HUMAN
ODO1_HUMAN
ODO1_HUMAN
ODO1_HUMAN
ODO1_HUMAN
THIL_HUMAN
THIL_HUMAN
THIL_HUMAN
THIL_HUMAN
NSUN2_HUMAN
NSUN2_HUMAN
EF1A1_HUMAN
ACACB_HUMAN
MLRA_HUMAN
MLRA_HUMAN
MLRA_HUMAN
DOCK4_HUMAN
LETM1_HUMAN
LETM1_HUMAN
DDX1_HUMAN
DDX1_HUMAN
NDK3_HUMAN
NDRG2_HUMAN
SMRC2_HUMAN
DNMT1_HUMAN
DNMT1_HUMAN
DNMT1_HUMAN
ETFB_HUMAN
PGAM1_HUMAN
F1142_HUMAN
ARHG7_HUMAN
F173B_HUMAN
F173B_HUMAN
SYWC_HUMAN
SYWC_HUMAN
NDUA7_HUMAN
EFGM_HUMAN
